,url,Connecteur clavier,Matériaux,Webcam,Diagonale,Autofocus,Induction,Navigateur par défaut,Amovible,Compatible Flash Player,Bluetooth,Appareil photo,Boutique d'apps,Appel téléphonique,Fréquence,Capteur d'empreinte,4G,VGA,Couleur(s),USB,DisplayPort,Miracast,Puce graphique,Avec emplacement,Compatible,Verrou Kensington,Capteur de luminosité,Cellules,Haut-parleurs,Capacité W/h,Ethernet,Résistance aux chutes,Dalle,Applications,Prix public,Anti-rayures,Gyroscope,Béquille ajustable,Luminosité,Tactile,Lecteur de carte SD,Processeur,Accéléromètre,Résistance à la poussière,Système,64 bits,Béquille arrière,Infrarouge,Date,HDMI,Inclus,NFC,Qualité vidéo,Référence,GPS,Prise casque,Résolution,Angle de vue,Mémoire (RAM),Puce TPM,Capteur de proximité,Flash LED,Marque,Poids,DisplayPort Thunderbolt,Disque dur,Gamme,Airplay,Autonomie,3G,Résistance à l'eau,Interface constructeur,Wifi,PPI,Temps de charge,H x L x P,Magnétique,Widi,Optionnel,Capacité mAh,Anti-reflet,Lecteur de carte à puce (Smart Card),Firewire,Gravure,Puce graphique dédiée,Delta E,Lecteur d'empreintes digitales,Puce graphique intégrée,Connecteur pour dock,Port série,Taille,Pavé numérique,Flash Player,Contraste,Clavier rétroéclairé,Trackpoint,Système d'exploitation,Lecteur DVD,Emplacement,Cache,Dimensions,4G / LTE,Composition,Touchpad,Type de dalle,Navigateur,Wireless Display (Widi),PDT max.
product_535a7ef38eb2775c2ca14615,http://www.comparez-malin.fr/informatique/pc-portable/thomson-thbk1-10-32.html,Oui,Plastique,2.0  MPx,"10.1"" (25,65  cm)",Non,Non,Internet ExplorerChrome,Non,Oui,4.0,2.0  MPx,Windows StoreGoogle Play,Non,4  x  1.33  à  1.86  GHz  (x86),Non,Non,Non,BlancNoir,1 x Micro USB 2.0,Non,Oui,Intel HD Graphics (Bay Trail)311  MHz,Non,Non,Non,Oui,-,Haut-parleurs stéréo,-,Non,Non,LCD - IPS,Microsoft Office Famille & Etudiant-,"299,00€",Non,Oui,Non,-,10  points,Micro   SD  /  SDHC,Intel Atom Z3740,Oui,Non,Windows  8 ProAndroid  4.2,Oui,Non,Non,31/05/2014,Micro HDMI  1.4,Housse clavierCâble USB de synchronisationNotice d'utilisation,Non,Non,THBK1-10.32,Non,Oui,1280 x 800  pixels,178°,2  Go,Non,Non,Non,Thomson,645g,Non,32  Go  (SSD),Bay Trail  (x86),Non,8h00,Non,Non,NonNon,802.11 b/g/n,149  ppp,-,172.6  x  258  x  10.1  mm,Non,Oui,-,7900  mAh,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_53f75b538eb277f85bfa08d9,http://www.comparez-malin.fr/informatique/pc-portable/toshiba-portege-z30-a-19l.html,,,2.0 MPx,,Non,Non,,Non,,4.0 (LE),Non,Windows Store,,2 x 2 à 3.1 GHz,,,Oui,Gris,3 x USB 3.0 / Charging,Non,Non,,,Non,Oui,Oui,4 cel.,Haut-parleurs stéréoDTS,52 W/h, 100 / 1000 Mbps,Non,,DTS Studio SoundMcAfee Internet SecurityToshiba Eco UtilityToshiba PC Health MonitorToshiba Device AccessToshiba Security AssistAdvanced Encryption (TPM)Computrace® enabled BIOSSmartCard ReaderFingerprint Reader-Single Sign OnMicrosoft Office 2010 starterSkype,"1 599,00€",Non,Non,,-,Non, SD / SDHC / SDXC / MMC,Intel Core i7-4510U,Non,Non,,Oui,,Non,22/08/2014,HDMI 1.4,DVD Windows 8 Pro + Windows 7 ProManuel d'utilisateur ToshibaChargeur secteur,Non,Non,PT243E-084058FR,Non,Oui,1920 x 1080 pixels,-,8 Go - DDR3L(1600 MHz),Oui,Non,Non,Toshiba,1.2 kg,Non,256 Go (SSD),Haswell 2014 (x86),Non,12h00,Oui,Non,Non,802.11 b/g/n/ac,166 ppp,-,,Non,,-,-,Oui,Oui,Non,22 nm,Non,-,Oui,Intel HD Graphics 4400200 - 1100 MHz,Non,Non,"13.3"" (33,78 cm)",Non,Oui,-,Oui,Oui,Windows 8 Pro,Non,Non,4 Mo,316 x 227 x 13.9 - 17.9 mm,Oui,AluminiumMagnésium,Oui,LCD - TN,Internet Explorer,Oui,15 W
product_544aee838eb2775c6566f853,http://www.comparez-malin.fr/informatique/pc-portable/lenovo-ideapad-g50-70-59423403.html,,,0.3 MPx,,Non,Non,,Oui,,4.0,Non,Windows Store,,2 x 1.7 à 2.7 GHz,,,Oui,Noir,2 x USB 2.01 x USB 3.0,Non,Non,,,Non,Oui,Oui,4 cel.,Haut-parleurs stéréoDolby Advanced Audio,31.7 W/h, 10 / 100 Mbps,Non,,Lenovo VeriFace ProLenovo Cloud StorageLenovo Energy ManagementLenovo Enhanced Experience 8Lenovo Solution CenterOneKey Rescue SystemMicrosoft Office 365 Édition FamilialeMcAfee Internet SecurityOneKey RecoveryPowerDVD 10.0CyberLink YouCam,"499,00€",Non,Non,,205 cd/m²,Non, SD / SDHC / SDXC / MMC,Intel Core i5-4210U,Non,Non,,Oui,,Non,09/10/2014,HDMI 1.4,ManuelChargeur secteur,Non,Non,59423403,Non,Oui,1366 x 768 pixels,-,4 Go - DDR3L(1600 MHz),Non,Non,Non,Lenovo,2.5 kg,Non,1000 Go (5400 tr/min),Haswell 2014 (x86),Non,5h40,Non,Non,Non,802.11 b/g/n,100 ppp,-,,Non,,-,-,Non,Non,Non,22 nm,Non,-,Non,Intel HD Graphics 4400200 - 1000 MHz,Non,Non,"15.6"" (39,62 cm)",Oui,Oui,470:1,Non,Non,Windows 8,Oui,Non,3 Mo,384 x 265 x 25 mm,Non,Plastique,Oui,LCD - TN,Internet Explorer,Non,15 W
product_54b83a1f8eb2779b558b4569,http://www.comparez-malin.fr/informatique/pc-portable/asus-transformer-book-t300chi-fh011p.html,Oui,Aluminium,2.0  MPx,"12.5"" (31,75  cm)",Non,Non,Internet Explorer,Non,Oui,4.0  (HS),Non,Windows Store,Non,2  x  1.1  à  2.6  GHz  (x86),Non,Non,Non,Noir,1 x Micro USB 3.0,Non,Oui,Intel HD Graphics 5300300 - 900  MHz,Non,Non,Non,Oui,2  cel.,Haut-parleurs stéréo  (2W)SonicMaster Sound,30  W/h,Non,Non,LCD - IPS,Asus WebStorage (1 an offert),"1 079,00€",Non,Oui,Non,400  cd/m²,10  points,Micro   SD  /  SDHC  /  SDXC,Intel Core M-5Y51,Oui,Non,Windows  8 Pro,Oui,Non,Non,15/01/2015,Micro HDMI  1.4,Dock clavier BluetoothNotice et garantie,Non,Non,T300CHI-FH011P,Non,Oui,2560 x 1440  pixels,178°,8  Go  -  LPDDR3  (1600  MHz),Oui,Non,Non,Asus,720g,Non,128  Go  (SSD),Broadwell  (x86),Non,8h00,Non,Non,Non,802.11 b/g/n,235  ppp,-,191.6  x  317.8  x  7.6  mm,Non,Oui,-,-,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_54b8430d8eb27749668b4567,http://www.comparez-malin.fr/informatique/pc-portable/asus-transformer-book-t100chi-fg004p.html,Oui,Aluminium,2.0  MPx,"10.1"" (25,65  cm)",Oui,Non,Internet Explorer,Non,Oui,4.0  (HS),5.0  MPx,Windows Store,Non,4  x  1.46  à  2.39  GHz  (x86),Non,Non,Non,Noir,1 x Micro USB 3.0,Non,Oui,Intel HD Graphics (Bay Trail)311 - 778  MHz,Non,Non,Non,Oui,-,Haut-parleurs stéréoSonicMaster Sound,30  W/h,Non,Non,LCD - IPS,Microsoft Office 365 (1 an d'abonnement)Microsoft OneDrive 1 To (1 an d'abonnement)Asus WebStorage (1 an d'abonnement),"589,00€",Non,Oui,Non,400  cd/m²,10  points,Micro   SD  /  SDHC  /  SDXC,Intel Atom Z3775,Oui,Non,Windows  8 Pro,Oui,Non,Non,15/01/2015,Micro HDMI  1.4,Dock clavier BluetoothNotice et garantie,Non,Full HD (1080p),T100CHI-FG004P,Non,Oui,1920 x 1200  pixels,178°,2  Go,Non,Non,Non,Asus,570g,Non,64  Go  (SSD),Bay Trail  (x86),Non,10h00,Non,Non,Non,802.11 b/g/n,224  ppp,-,174.5  x  265  x  7.2  mm,Non,Oui,-,-,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_54be2ff48eb27700478b456e,http://www.comparez-malin.fr/informatique/pc-portable/asus-transformer-book-t100taf-dk036p.html,Oui,PlastiqueMétal,1.2  MPx,"10.1"" (25,65  cm)",Non,Non,Internet Explorer,Non,Oui,4.0,Non,Windows Store,Non,4  x  1.33  à  1.83  GHz  (x86),Non,Non,Non,Gris,1 x Micro USB 2.0,Non,Non,Intel HD Graphics (Bay Trail)311 - 646  MHz,Non,Non,Non,Oui,2  cel.,Haut-parleurs stéréo  (1W)SonicMaster Sound,31  W/h,Non,Non,LCD - IPS,Asus WebstorageMicrosoft Office 365 (1 an abonnement),"469,00€",Non,Oui,Non,250  cd/m²,10  points,Micro   SD  /  SDHC,Intel Atom Z3735F,Oui,Non,Windows  8 Pro,Oui,Non,Non,20/01/2015,Micro HDMI  1.4,Dock-clavierCâble USB de synchronisationNotice d'utilisation,Non,Non,T100TAF-DK036P,Non,Oui,1366 x 768  pixels,178°,2  Go,Non,Non,Non,Asus,550g,Non,32  Go  (SSD),Bay Trail  (x86),Non,11h00,Non,Non,Non,802.11 b/g/n,155  ppp,-,171  x  263  x  10.5  mm,Non,Oui,-,-,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_54f8643d8eb27719678b456d,http://www.comparez-malin.fr/informatique/pc-portable/toshiba-tecra-z50-a-17p.html,,,2.0 MPx,,Non,Non,,Non,,4.0 (LE),Non,,,2 x 1.7 à 2.7 GHz,,,Oui,Gris,1 x USB 2.03 x USB 3.0 / Charging,Non,Non,,,Non,Oui,Oui,4 cel.,Haut-parleurs stéréoDTS,52 W/h, 100 / 1000 Mbps,Non,,DTS Studio SoundMcAfee Internet SecurityToshiba Eco UtilityToshiba PC Health MonitorToshiba Device AccessToshiba Security AssistAdvanced Encryption (TPM)Computrace enabled BIOSSmartCard ReaderFingerprint Reader-Single Sign OnMicrosoft Office 2010 starterSkype,"1 099,00€",Non,Non,,-,Non, SD / SDHC / SDXC / MMC,Intel Core i5-4210U,Non,Non,,Oui,,Non,05/03/2015,HDMI 1.4,DVD Windows 8 ProManuel d'utilisateur ToshibaChargeur secteur,Non,Non,Z50-A-17P,Non,Oui,1366 x 768 pixels,-,4 Go - DDR3L(1600 MHz),Oui,Non,Non,Toshiba,1.8 kg,Non,500 Go (5400 tr/min) + 8 Go (cache SSD),Haswell 2014 (x86),Non,8h00,Non,Non,Non,802.11 b/g/n/ac,100 ppp,-,,Non,,-,-,Oui,Oui,Non,22 nm,Non,-,Oui,Intel HD Graphics 4400200 - 1000 MHz,Non,Non,"15.6"" (39,62 cm)",Oui,Oui,-,Oui,Oui,Windows Professionnel,Non,Non,3 Mo,379 x 252 x 20.4 mm,Non,AluminiumMagnésium,Oui,LCD - TN,Internet Explorer,Oui,15 W
product_54fe16168eb277365d8b4567,http://www.comparez-malin.fr/informatique/pc-portable/apple-macbook-air-2015-mjvm2f-a-11-6-128-go.html,,,1.3 MPxCaméra FaceTime HD,,Non,Non,,Non,,4.0,Non,App Store,,2 x 1.6 à 2.7 GHz,,,VGA avec adaptateur,Gris,2 x USB 3.0,Mini DisplayPort,Non,,,Non,Non,Oui,-,Haut-parleurs stéréo,38 W/h,Non,Non,,iPhotoiMovieGarageBandPagesNumbersKeynotePlansiBooksSafariMailFaceTimeMessagesCalendrierContactsRappelsTime MachinePhoto BoothiTunesGame CenterAperçuNotesMac App Store,"999,00€",Non,Non,,-,Non,Non,Intel Core i5-5250U,Non,Non,,Oui,,Non,09/03/2015,Avec adaptateur 1.4,MacBook AirAdaptateur secteur MagSafe 2 de 45 WCordon d'alimentationDocumentation,Non,Non,MJVM2F/A,Non,Oui,1366 x 768 pixels,-,4 Go - LPDDR3(1600 MHz),Non,Non,Non,Apple,1.08 kg,Oui,128 Go (SSD),Broadwell 2015 (x86),Oui,9h00,Non,Non,Non,802.11 b/g/n/ac,135 ppp,-,,Non,,Adaptateur Thunderbolt vers Ethernet Gigabit AppleAdaptateur Thunderbolt vers FireWire AppleAdaptateur Mini DisplayPort vers VGAAdaptateur Mini DisplayPort vers DVIAdaptateur Mini DisplayPort vers DVI double liaisonAdaptateur Mini DisplayPort vers HDMICâble Thunderbolt Apple,-,Non,Non,Non,14 nm,Non,-,Non,Intel HD Graphics 6000300 - 950 MHz,Non,Non,"11.6"" (29,46 cm)",Non,Oui,-,Oui,Non,Mac OS X 10.10,Non,Non,3 Mo,300 x 192 x 3 - 17 mm,Non,Aluminium,Oui,LCD - TN,Safari,Non,15 W
product_54fe16aa8eb277345d8b4567,http://www.comparez-malin.fr/informatique/pc-portable/apple-macbook-air-2015-mjvp2f-a-11-6-256-go.html,,,1.3 MPxCaméra FaceTime HD,,Non,Non,,Non,,4.0,Non,App Store,,2 x 1.6 à 2.7 GHz,,,VGA avec adaptateur,Gris,2 x USB 3.0,Mini DisplayPort,Non,,,Non,Non,Oui,-,Haut-parleurs stéréo,38 W/h,Non,Non,,iPhotoiMovieGarageBandPagesNumbersKeynotePlansiBooksSafariMailFaceTimeMessagesCalendrierContactsRappelsTime MachinePhoto BoothiTunesGame CenterAperçuNotesMac App Store,"1 249,00€",Non,Non,,-,Non,Non,Intel Core i5-5250U,Non,Non,,Oui,,Non,09/03/2015,Avec adaptateur 1.4,MacBook AirAdaptateur secteur MagSafe 2 de 45 WCordon d'alimentationDocumentation,Non,Non,MJVP2F/A,Non,Oui,1366 x 768 pixels,-,4 Go - LPDDR3(1600 MHz),Non,Non,Non,Apple,1.08 kg,Oui,256 Go (SSD),Broadwell 2015 (x86),Oui,9h00,Non,Non,Non,802.11 b/g/n/ac,135 ppp,-,,Non,,Adaptateur Thunderbolt vers Ethernet Gigabit AppleAdaptateur Thunderbolt vers FireWire AppleAdaptateur Mini DisplayPort vers VGAAdaptateur Mini DisplayPort vers DVIAdaptateur Mini DisplayPort vers DVI double liaisonAdaptateur Mini DisplayPort vers HDMICâble Thunderbolt Apple,-,Non,Non,Non,14 nm,Non,-,Non,Intel HD Graphics 6000300 - 950 MHz,Non,Non,"11.6"" (29,46 cm)",Non,Oui,-,Oui,Non,Mac OS X 10.10,Non,Non,3 Mo,300 x 192 x 3 - 17 mm,Non,Aluminium,Oui,LCD - TN,Safari,Non,15 W
product_54fe17668eb277345d8b4568,http://www.comparez-malin.fr/informatique/pc-portable/apple-macbook-air-2015-mjvg2f-a-13-3-256-go.html,,,1.3 MPxCaméra FaceTime HD,,Non,Non,,Non,,4.0,Non,App Store,,2 x 1.6 à 2.7 GHz,,,VGA avec adaptateur,Gris,2 x USB 3.0,Mini DisplayPort,Non,,,Non,Non,Oui,-,Haut-parleurs stéréo,54 W/h,Non,Non,,iPhotoiMovieGarageBandPagesNumbersKeynotePlansiBooksSafariMailFaceTimeMessagesCalendrierContactsRappelsTime MachinePhoto BoothiTunesGame CenterAperçuNotesMac App Store,"1 349,00€",Non,Non,,-,Non, SD / SDHC / SDXC,Intel Core i5-5250U,Non,Non,,Oui,,Non,09/03/2015,Avec adaptateur 1.4,MacBook AirAdaptateur secteur MagSafe 2 de 45 WCordon d'alimentationDocumentation,Non,Non,MJVG2F/A,Non,Oui,1440 x 900 pixels,-,4 Go - LPDDR3(1600 MHz),Non,Non,Non,Apple,1.35 kg,Oui,256 Go (SSD),Broadwell 2015 (x86),Oui,12h00,Non,Non,Non,802.11 b/g/n/ac,128 ppp,-,,Non,,Adaptateur Thunderbolt vers Ethernet Gigabit AppleAdaptateur Thunderbolt vers FireWire AppleAdaptateur Mini DisplayPort vers VGAAdaptateur Mini DisplayPort vers DVIAdaptateur Mini DisplayPort vers DVI double liaisonAdaptateur Mini DisplayPort vers HDMICâble Thunderbolt Apple,-,Non,Non,Non,14 nm,Non,-,Non,Intel HD Graphics 6000300 - 950 MHz,Non,Non,"13.3"" (33,78 cm)",Non,Oui,-,Oui,Non,Mac OS X 10.10,Non,Non,3 Mo,325 x 227 x 3 - 17 mm,Non,Aluminium,Oui,LCD - TN,Safari,Non,15 W
