,url,Poids,Puce TPM,Emplacement,Wifi,Marque,Bluetooth,Mémoire (RAM),Contraste,Webcam,Résistance à la poussière,Angle de vue,Compatible,Qualité vidéo,PPI,Gyroscope,3G,Connecteur pour dock,NFC,Navigateur,Trackpoint,Gravure,Miracast,Tactile,DisplayPort,VGA,Flash LED,Induction,DisplayPort Thunderbolt,Type de dalle,Processeur,Lecteur d'empreintes digitales,Lecteur de carte à puce (Smart Card),Anti-reflet,Fréquence,Dimensions,Luminosité,Gamme,PDT max.,Delta E,Airplay,Port série,Puce graphique dédiée,Capacité W/h,Prise casque,Système d'exploitation,Accéléromètre,Boutique d'apps,Cellules,Composition,Inclus,Autonomie,Firewire,4G / LTE,Cache,Lecteur de carte SD,Infrarouge,Anti-rayures,Magnétique,Capteur de proximité,Haut-parleurs,Ethernet,Interface constructeur,Capacité mAh,Temps de charge,Verrou Kensington,Flash Player,USB,HDMI,Autofocus,Wireless Display (Widi),Amovible,Lecteur DVD,Puce graphique intégrée,prix,Applications,Taille,Appareil photo,Couleur(s),Pavé numérique,64 bits,Résistance aux chutes,Optionnel,Disque dur,Résistance à l'eau,Résolution,Prix public,GPS,Date,Touchpad,Capteur de luminosité,Clavier rétroéclairé,Référence
product_544aee838eb2775c6566f853,http://www.comparez-malin.fr/informatique/pc-portable/lenovo-ideapad-g50-70-59423403.html,2.5 kg,Non,Non,802.11 b/g/n,Lenovo,4.0,4 Go - DDR3L(1600 MHz),470:1,0.3 MPx,Non,-,Non,Non,100 ppp,Non,Non,Non,Non,Internet Explorer,Non,22 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i5-4210U,Non,Non,Non,2 x 1.7 à 2.7 GHz,384 x 265 x 25 mm,205 cd/m²,Haswell 2014 (x86),15 W,-,Non,Non,Non,31.7 W/h,Oui,Windows 8,Non,Windows Store,4 cel.,Plastique,Manuel Chargeur secteur,5h40,Non,Non,3 Mo,SD / SDHC / SDXC / MMC,Non,Non,Non,Non,Haut-parleurs stéréoDolby Advanced Audio,10 / 100 Mbps,Non,-,-,Oui,Oui,2 x USB 2.01 x USB 3.0,HDMI 1.4,Non,Non,Oui,Oui,Intel HD Graphics 4400200 - 1000 MHz,"563,79 €",Lenovo VeriFace Pro Lenovo Cloud Storage Lenovo Energy Management Lenovo Enhanced Experience 8 Lenovo Solution Center OneKey Rescue System Microsoft Office 365 Édition Familiale McAfee Internet Security OneKey Recovery PowerDVD 10.0 CyberLink YouCam,"15.6"" (39,62 cm)",Non,Noir,Oui,Oui,Non,-,1000 Go (5400 tr/min),Non,1366 x 768 pixels,"499,00€",Non,09/10/2014,Oui,Oui,Non,59423403
product_54f8643d8eb27719678b456d,http://www.comparez-malin.fr/informatique/pc-portable/toshiba-tecra-z50-a-17p.html,1.8 kg,Oui,Non,802.11 b/g/n/ac,Toshiba,4.0  (LE),4 Go - DDR3L(1600 MHz),-,2.0 MPx,Non,-,Non,Non,100 ppp,Non,Non,Non,Non,Internet Explorer,Oui,22 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i5-4210U,Oui,Oui,Oui,2 x 1.7 à 2.7 GHz,379 x 252 x 20.4 mm,-,Haswell 2014 (x86),15 W,-,Non,Non,Non,52 W/h,Oui,Windows Professionnel,Non,,4 cel.,AluminiumMagnésium,DVD Windows 8 Pro Manuel d'utilisateur Toshiba Chargeur secteur,8h00,Non,Non,3 Mo,SD / SDHC / SDXC / MMC,Non,Non,Non,Non,Haut-parleurs stéréoDTS,100 / 1000 Mbps,Non,-,-,Oui,Oui,1 x USB 2.03 x USB 3.0 / Charging,HDMI 1.4,Non,Oui,Non,Non,Intel HD Graphics 4400200 - 1000 MHz,"763,54 €",DTS Studio Sound McAfee Internet Security Toshiba Eco Utility Toshiba PC Health Monitor Toshiba Device Access Toshiba Security Assist Advanced Encryption (TPM) Computrace enabled BIOS SmartCard Reader Fingerprint Reader-Single Sign On Microsoft Office 2010 starter Skype,"15.6"" (39,62 cm)",Non,Gris,Oui,Oui,Non,-,500 Go (5400 tr/min) + 8 Go (cache SSD),Non,1366 x 768 pixels,"1 099,00€",Non,05/03/2015,Oui,Oui,Oui,Z50-A-17P
product_54fe16168eb277365d8b4567,http://www.comparez-malin.fr/informatique/pc-portable/apple-macbook-air-2015-mjvm2f-a-11-6-128-go.html,1.08 kg,Non,Non,802.11 b/g/n/ac,Apple,4.0,4 Go - LPDDR3(1600 MHz),-,1.3 MPxCaméra FaceTime HD,Non,-,Non,Non,135 ppp,Non,Non,Non,Non,Safari,Non,14 nm,Non,Non,Mini DisplayPort,VGA avec adaptateur,Non,Non,Oui,LCD - TN,Intel Core i5-5250U,Non,Non,Non,2 x 1.6 à 2.7 GHz,300 x 192 x 3 - 17 mm,-,Broadwell 2015 (x86),15 W,-,Oui,Non,Non,38 W/h,Oui,Mac OS X 10.10,Non,App Store,-,Aluminium,MacBook Air Adaptateur secteur MagSafe 2 de 45 W Cordon d'alimentation Documentation,9h00,Non,Non,3 Mo,Non,Non,Non,Non,Non,Haut-parleurs stéréo,Non,Non,-,-,Non,Oui,2 x USB 3.0,Avec adaptateur 1.4,Non,Non,Non,Non,Intel HD Graphics 6000300 - 950 MHz,"949,00 €",iPhoto iMovie GarageBand Pages Numbers Keynote Plans iBooks Safari Mail FaceTime Messages Calendrier Contacts Rappels Time Machine Photo Booth iTunes Game Center Aperçu Notes Mac App Store,"11.6"" (29,46 cm)",Non,Gris,Non,Oui,Non,Adaptateur Thunderbolt vers Ethernet Gigabit Apple Adaptateur Thunderbolt vers FireWire Apple Adaptateur Mini DisplayPort vers VGA Adaptateur Mini DisplayPort vers DVI Adaptateur Mini DisplayPort vers DVI double liaison Adaptateur Mini DisplayPort vers HDMI Câble Thunderbolt Apple,128 Go (SSD),Non,1366 x 768 pixels,"999,00€",Non,09/03/2015,Oui,Oui,Oui,MJVM2F/A
product_54fe16aa8eb277345d8b4567,http://www.comparez-malin.fr/informatique/pc-portable/apple-macbook-air-2015-mjvp2f-a-11-6-256-go.html,1.08 kg,Non,Non,802.11 b/g/n/ac,Apple,4.0,4 Go - LPDDR3(1600 MHz),-,1.3 MPxCaméra FaceTime HD,Non,-,Non,Non,135 ppp,Non,Non,Non,Non,Safari,Non,14 nm,Non,Non,Mini DisplayPort,VGA avec adaptateur,Non,Non,Oui,LCD - TN,Intel Core i5-5250U,Non,Non,Non,2 x 1.6 à 2.7 GHz,300 x 192 x 3 - 17 mm,-,Broadwell 2015 (x86),15 W,-,Oui,Non,Non,38 W/h,Oui,Mac OS X 10.10,Non,App Store,-,Aluminium,MacBook Air Adaptateur secteur MagSafe 2 de 45 W Cordon d'alimentation Documentation,9h00,Non,Non,3 Mo,Non,Non,Non,Non,Non,Haut-parleurs stéréo,Non,Non,-,-,Non,Oui,2 x USB 3.0,Avec adaptateur 1.4,Non,Non,Non,Non,Intel HD Graphics 6000300 - 950 MHz,"1 099,00 €",iPhoto iMovie GarageBand Pages Numbers Keynote Plans iBooks Safari Mail FaceTime Messages Calendrier Contacts Rappels Time Machine Photo Booth iTunes Game Center Aperçu Notes Mac App Store,"11.6"" (29,46 cm)",Non,Gris,Non,Oui,Non,Adaptateur Thunderbolt vers Ethernet Gigabit Apple Adaptateur Thunderbolt vers FireWire Apple Adaptateur Mini DisplayPort vers VGA Adaptateur Mini DisplayPort vers DVI Adaptateur Mini DisplayPort vers DVI double liaison Adaptateur Mini DisplayPort vers HDMI Câble Thunderbolt Apple,256 Go (SSD),Non,1366 x 768 pixels,"1 249,00€",Non,09/03/2015,Oui,Oui,Oui,MJVP2F/A
product_54fe17668eb277345d8b4568,http://www.comparez-malin.fr/informatique/pc-portable/apple-macbook-air-2015-mjvg2f-a-13-3-256-go.html,1.35 kg,Non,Non,802.11 b/g/n/ac,Apple,4.0,4 Go - LPDDR3(1600 MHz),-,1.3 MPxCaméra FaceTime HD,Non,-,Non,Non,128 ppp,Non,Non,Non,Non,Safari,Non,14 nm,Non,Non,Mini DisplayPort,VGA avec adaptateur,Non,Non,Oui,LCD - TN,Intel Core i5-5250U,Non,Non,Non,2 x 1.6 à 2.7 GHz,325 x 227 x 3 - 17 mm,-,Broadwell 2015 (x86),15 W,-,Oui,Non,Non,54 W/h,Oui,Mac OS X 10.10,Non,App Store,-,Aluminium,MacBook Air Adaptateur secteur MagSafe 2 de 45 W Cordon d'alimentation Documentation,12h00,Non,Non,3 Mo,SD / SDHC / SDXC,Non,Non,Non,Non,Haut-parleurs stéréo,Non,Non,-,-,Non,Oui,2 x USB 3.0,Avec adaptateur 1.4,Non,Non,Non,Non,Intel HD Graphics 6000300 - 950 MHz,"1 469,99 €",iPhoto iMovie GarageBand Pages Numbers Keynote Plans iBooks Safari Mail FaceTime Messages Calendrier Contacts Rappels Time Machine Photo Booth iTunes Game Center Aperçu Notes Mac App Store,"13.3"" (33,78 cm)",Non,Gris,Non,Oui,Non,Adaptateur Thunderbolt vers Ethernet Gigabit Apple Adaptateur Thunderbolt vers FireWire Apple Adaptateur Mini DisplayPort vers VGA Adaptateur Mini DisplayPort vers DVI Adaptateur Mini DisplayPort vers DVI double liaison Adaptateur Mini DisplayPort vers HDMI Câble Thunderbolt Apple,256 Go (SSD),Non,1440 x 900 pixels,"1 349,00€",Non,09/03/2015,Oui,Oui,Oui,MJVG2F/A
product_54fe17af8eb277365d8b4569,http://www.comparez-malin.fr/informatique/pc-portable/apple-macbook-pro-13-mf839f-a-128-go.html,1.58 kg,Non,Non,802.11 b/g/n/ac,Apple,4.0,8 Go - LPDDR3(1866 MHz),925:1,1.3 MPxFaceTime HD 720p,Non,178°,Non,Non,227 ppp,Non,Non,Non,Non,Safari,Non,14 nm,Non,Non,Mini DisplayPort,VGA avec adaptateur,Non,Non,Oui,LCD - IPS,Intel Core i5-5257U,Non,Non,Non,2 x 2.7 à 3.1 GHz,314 x 219 x 18 mm,370 cd/m²,Broadwell 2015 (x86),28 W,1.9,Oui,Non,Non,74.9 W/h,Oui,Mac OS X 10.10,Non,App Store,-,Aluminium,Adaptateur secteur MagSafe 2 Cordon d'alimentation Documentation,10h00,Non,Non,3 Mo,SD / SDHC / SDXC,Non,Non,Non,Non,Haut-parleurs stéréo,Non,Non,-,-,Non,Oui,2 x USB 3.0,HDMI 1.4,Non,Non,Non,Non,Intel Iris Graphics 6100300 - 1050 MHz,"1 029,99 €",iPhoto iMovie GarageBand Pages Numbers Keynote Plans iBooks Safari Mail FaceTime Messages Calendrier Contacts Rappels Time Machine Photo Booth iTunes Game Center Aperçu Notes Mac App Store,"13.3"" (33,78 cm)",Non,Gris,Non,Oui,Non,Adaptateur Thunderbolt vers Ethernet Gigabit Apple Adaptateur Thunderbolt vers FireWire Apple Adaptateur Mini DisplayPort vers VGA Adaptateur Mini DisplayPort vers DVI Adaptateur Mini DisplayPort vers DVI double liaison Adaptateur Mini DisplayPort vers HDMI Câble Thunderbolt Apple,128 Go (SSD),Non,2560 x 1600 pixels,"1 449,00€",Non,09/03/2015,Oui,Oui,Oui,MF839F/A
product_54fe182a8eb277355d8b4567,http://www.comparez-malin.fr/informatique/pc-portable/apple-macbook-pro-13-mf840f-a-256-go.html,1.58 kg,Non,Non,802.11 b/g/n/ac,Apple,4.0,8 Go - LPDDR3(1866 MHz),925:1,1.3 MPxFaceTime HD 720p,Non,178°,Non,Non,227 ppp,Non,Non,Non,Non,Safari,Non,14 nm,Non,Non,Mini DisplayPort,Non,Non,Non,Oui,LCD - IPS,Intel Core i5-5257U,Non,Non,Non,2 x 2.7 à 3.1 GHz,314 x 219 x 18 mm,370 cd/m²,Broadwell 2015 (x86),28 W,1.9,Oui,Non,Non,74.9 W/h,Oui,Mac OS X 10.10,Non,App Store,-,Aluminium,Adaptateur secteur MagSafe 2 Cordon d'alimentation Documentation,10h00,Non,Non,3 Mo,SD / SDHC / SDXC,Non,Non,Non,Non,Haut-parleurs stéréo,Non,Non,-,-,Non,Oui,2 x USB 3.0,HDMI 1.4,Non,Non,Non,Non,Intel Iris Graphics 6100300 - 1050 MHz,"1 689,99 €",iPhoto iMovie GarageBand Pages Numbers Keynote Plans iBooks Safari Mail FaceTime Messages Calendrier Contacts Rappels Time Machine Photo Booth iTunes Game Center Aperçu Notes Mac App Store,"13.3"" (33,78 cm)",Non,Gris,Non,Oui,Non,Adaptateur Thunderbolt vers Ethernet Gigabit Apple Adaptateur Thunderbolt vers FireWire Apple Adaptateur Mini DisplayPort vers VGA Adaptateur Mini DisplayPort vers DVI Adaptateur Mini DisplayPort vers DVI double liaison Adaptateur Mini DisplayPort vers HDMI Câble Thunderbolt Apple,256 Go (SSD),Non,2560 x 1600 pixels,"1 649,00€",Non,09/03/2015,Oui,Oui,Oui,MF840F/A
product_54fe18788eb277355d8b4568,http://www.comparez-malin.fr/informatique/pc-portable/apple-macbook-pro-13-mf841f-a-512-go.html,1.58 kg,Non,Non,802.11 b/g/n/ac,Apple,4.0,8 Go - LPDDR3(1866 MHz),925:1,1.3 MPxFaceTime HD 720p,Non,178°,Non,Non,227 ppp,Non,Non,Non,Non,Safari,Non,14 nm,Non,Non,Mini DisplayPort,VGA avec adaptateur,Non,Non,Oui,LCD - IPS,Intel Core i5-5287U,Non,Non,Non,2 x 2.9 à 3.3 GHz,314 x 219 x 18 mm,370 cd/m²,Broadwell 2015 (x86),28 W,1.9,Oui,Non,Non,74.9 W/h,Oui,Mac OS X 10.10,Non,App Store,-,Aluminium,Adaptateur secteur MagSafe 2 Cordon d'alimentation Documentation,10h00,Non,Non,3 Mo,SD / SDHC / SDXC,Non,Non,Non,Non,Haut-parleurs stéréo,Non,Non,-,-,Non,Oui,2 x USB 3.0,HDMI 1.4,Non,Non,Non,Non,Intel Iris Graphics 6100300 - 1100 MHz,"2 289,99 €",iPhoto iMovie GarageBand Pages Numbers Keynote Plans iBooks Safari Mail FaceTime Messages Calendrier Contacts Rappels Time Machine Photo Booth iTunes Game Center Aperçu Notes Mac App Store,"13.3"" (33,78 cm)",Non,Gris,Non,Oui,Non,Adaptateur Thunderbolt vers Ethernet Gigabit Apple Adaptateur Thunderbolt vers FireWire Apple Adaptateur Mini DisplayPort vers VGA Adaptateur Mini DisplayPort vers DVI Adaptateur Mini DisplayPort vers DVI double liaison Adaptateur Mini DisplayPort vers HDMI Câble Thunderbolt Apple,512 Go (SSD),Non,2560 x 1600 pixels,"1 999,00€",Non,09/03/2015,Oui,Oui,Oui,MF841F/A
product_5512c8208eb27790638b4569,http://www.comparez-malin.fr/informatique/pc-portable/toshiba-tecra-w50-a-117.html,2.7 kg,Oui,Non,802.11 b/g/n/ac,Toshiba,4.0  (LE),32 Go - DDR3L(1600 MHz),-,2.0 MPx,Non,-,Non,Non,141 ppp,Non,Non,Non,Non,Internet Explorer,Oui,22 nm,Non,Non,Oui,Oui,Non,Non,Non,LCD - TN,Intel Core i7-4810MQ,Oui,Oui,Oui,4 x 2.8 à 3.8 GHz,380.9 x 253.9 x 34.9 mm,-,Haswell 2014 (x86),47 W,-,Non,Non,Nvidia Quadro K2100M,-,Oui,Windows Professionnel,Non,,6 cel.,Plastique,DVD Windows 8.1 Pro Chargeur secteur Manuel,4h30,Non,Non,6 Mo,SD / SDHC / SDXC / MMC,Non,Non,Non,Non,Haut-parleurs stéréoDTS,100 / 1000 Mbps,Non,-,-,Oui,Oui,3 x USB 2.0 / Charging2 x USB 3.0,Non,Non,Oui,Non,Oui,Intel HD Graphics 4600400 - 1300 MHz,"2 739,95 €",McAfee Internet Security (version d'essai 30 jours) Toshiba Eco Utility Toshiba PC Health Monitor Toshiba Power Saver Utility Toshiba TEMPRO Performance Tuning Service Intel Active Management,"15.6"" (39,62 cm)",Non,Noir,Oui,Oui,Oui,-,512 Go (SSD),Oui,1920 x 1080 pixels,"2 649,00€",Non,25/03/2015,Oui,Oui,Oui,PT640E-06503JFR
product_5536408e8eb277b5298b4577,http://www.comparez-malin.fr/informatique/pc-portable/toshiba-portege-r30-a-19k.html,1.5 kg,Oui,Non,802.11 b/g/n/ac,Toshiba,4.0  (LE),4 Go - DDR3L(1600 MHz),-,2.0 MPx,Non,-,Non,Non,118 ppp,Non,Non,Non,Non,Internet Explorer,Oui,22 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i3-4100M,Non,Oui,Oui,2 x 2.5 GHz,316 x 227 x 18.3 - 26.6 mm,-,Haswell 2013 (x86),37 W,-,Non,Non,Non,66 W/h,Oui,Windows Professionnel,Non,,6 cel.,PlastiqueMagnésium,Manuel Adaptateur secteur Licence Windows 8.1 Pro DVD,9h00,Non,Non,3 Mo,SD / SDHC / SDXC / MMC,Non,Non,Non,Non,Haut-parleurs stéréoDTS,100 / 1000 Mbps,Non,6200 mAh,-,Oui,Oui,3 x USB 3.0 / Charging,HDMI 1.4,Non,Oui,Oui,Oui,Intel HD Graphics 4600400 - 1100 MHz,"644,95 €",McAfee Internet Securit (30 jours d'abonnement) Toshiba Eco Utility Toshiba PC Health Monitor Toshiba Power Saver Utility Toshiba TEMPRO Performance Tuning Service PC Health Monitor Virtualization Technology,"13.3"" (33,78 cm)",Non,Noir,Non,Oui,Oui,-,128 Go (SSD),Oui,1366 x 768 pixels,"1 069,00€",Non,21/04/2015,Oui,Oui,Oui,PT343E-0P505LFR
